origin,origin_length,text_original,text_translated,pointers
0x0E008394,36,{opt}タイトル{opt}アルファ{opt}ファイル{opt}絵本絵{nl},,0x0E008574
0x0E0083B8,38,{opt}顔窓　　{opt}１枚絵　{opt}小１枚絵{opt}犬シール{nl},,0x0E00857C
0x0E0083E0,36,{opt}０１章　{opt}０２章　{opt}０３章　{opt}０４章{nl},,0x0E008580
0x0E008404,36,{opt}０６章　{opt}０７章　{opt}０８章　{opt}０９章{nl},,0x0E008584
0x0E008428,36,{opt}１０章　{opt}１１章　{opt}１２章　{opt}１３章{nl},,0x0E008588
0x0E00844C,29,{opt}絵本　　{opt}スタッフ{opt}ＥＤ記念{nl},,0x0E00858C
0x0E00846C,36,{opt}ＳＧ１　{opt}ＳＧ２　{opt}ＳＧ３　{opt}ＳＧ４{nl},,0x0E008590
0x0E008490,20,{opt}ＳＧ５　{opt}ＳＧ６　{nl},,0x0E008594
0x0E0084A4,13,{opt}ＡＤＰＣＭ{nl},,0x0E008598
0x0E0084B4,9,{opt}ＢＧＭ{nl},,0x0E00859C
0x0E0084C0,6,{opt}デモ,,0x0E0085A0
0x0E008954,20,１個目のウィンドウ{np},,0x0E008CE4
0x0E008968,20,２個目のウィンドウ{np},,0x0E008CF0
0x0E00897C,20,３個目のウィンドウ{np},,0x0E008CF4
0x0E008990,20,４個目のウィンドウ{np},,0x0E008CF8
0x0E0089A4,20,５個目のウィンドウ{np},,0x0E008CFC
0x0E0089B8,20,６個目のウィンドウ{np},,0x0E008D00
0x0E0089CC,20,７個目のウィンドウ{np},,0x0E008D04
0x0E0089E0,6,戻る{np},,0x0E008D10
0x0E0089E8,15,ＣＬＳテスト{np}{clr},,0x0E008DF8
0x0E0089F8,12,ＫＥＹ待ち{np},,0x0E008E04
0x0E008A04,53,ａｂｃｄｅｆｇｈｉｊｋｅｌｍｏｐｑｒｓｔｕｖｗｘｙｚ,,0x0E008E08
0x0E008A3C,41,０１２３４５６７８９！”＃＄％＆’（）{np}{clr},,0x0E008E0C
0x0E008A68,34,{opt}あ{opt}い{opt}う{opt}え{opt}お　{opt}が{opt}ぎ{opt}ぐ{opt}げ{opt}ご{nl},,0x0E008E14
0x0E008A8C,34,{opt}か{opt}き{opt}く{opt}け{opt}こ　{opt}ざ{opt}じ{opt}ず{opt}ぜ{opt}ぞ{nl},,0x0E008E18
0x0E008AB0,34,{opt}さ{opt}し{opt}す{opt}せ{opt}そ　{opt}だ{opt}ぢ{opt}づ{opt}で{opt}ど{nl},,0x0E008E1C
0x0E008AD4,34,{opt}た{opt}ち{opt}つ{opt}て{opt}と　{opt}ば{opt}び{opt}ぶ{opt}べ{opt}ぼ{nl},,0x0E008E20
0x0E008AF8,34,{opt}な{opt}に{opt}ぬ{opt}ね{opt}の　{opt}ぱ{opt}ぴ{opt}ぷ{opt}ぺ{opt}ぽ{nl},,0x0E008E24
0x0E008B1C,34,{opt}は{opt}ひ{opt}ふ{opt}へ{opt}ほ　{opt}ぁ{opt}ぃ{opt}ぅ{opt}ぇ{opt}ぉ{nl},,0x0E008E28
0x0E008B40,34,{opt}ま{opt}み{opt}む{opt}め{opt}も　{opt}っ{opt}ゃ{opt}ゅ{opt}ょ{opt}ん{nl},,0x0E008E2C
0x0E008B64,17,{opt}ら{opt}り{opt}る{opt}れ{opt}ろ{nl},,0x0E008E30
0x0E008B78,17,{opt}や{opt}ゆ{opt}よ{opt}わ{opt}を{nl},,0x0E008E34
0x0E008F88,38,{fast}１枚絵テスト１枚絵テスト１枚絵テスト,,0x0E0090E4
0x0E00921C,389,{clr}　ももたちは、やがて、とってもきれい{nl}な森の中に入りこんでいました。そして{nl}そこには、キラキラと輝く川のほとりに{nl}小屋がひとつ立っていました。{nl}「やぁ、よく来たね、もも」{nl}　そこは、亡くなったおじいちゃんの住{nl}んでる小屋だったのです。{nl}「おじいちゃんに会えるなんて！」{nl}「いつだって会えるさ。ももが、ワシの{nl}ことを思い出してくれさえすればね」{nl}　ももは、ひさしぶりにおじいちゃんに{nl}抱きつきました。,,0x0E06AD54
0x0E0093A4,387,{clr}　ところが、レモンズには用心棒がつい{nl}ていました。とっても強そうなロボット{nl}のオモチャです。{nl}「あれぇ〜？　もしかして、あなた、ガ{nl}ンボットじゃない！」{nl}　そうなのです。それは、ももが幼稚園{nl}の時の大親友・ガンちゃんの大切なオモ{nl}チャだったのです。ももと将来を約束し{nl}た（？）ガンちゃんは、ひっこししてい{nl}く時、ももにこのロボットをプレゼント{nl}したのでした。{nl}「ももちゃんは、第二のご主人だゴン」,,0x0E06AD50
0x0E009528,431,{clr}　レモンが丘まで来ると、すこしこわが{nl}りのムクはもちろん、ジュディやもも一{nl}号も、ちょっと尻ごみしました。{nl}　そこには、ミラクル・レモンズという、{nl}とってもすっぱい・・・じゃなかった手{nl}ごわい姉妹がいたからなのです。{nl}「ぜったいぜったい、この丘はとおっち{nl}ゃダメ！　とおさないィィ・・・！」{nl}　レモンズのスライス投げは、なかなか{nl}キョーレツです。でも、ももたちは、{nl}「すっぱいのすっぱいの、飛んでけぇ」{nl}　ついに、レモンズに勝ったのでした。,,0x0E06AD4C
