SPR,  PAL

840,  882
841,  883
842,  884
843,  885
844,  886
845,  887
846,  888
847,  889
848,  890
849,  891
850,  892
851,  893
852,  894
853,  895
854,  896
855,  897
856,  898
857,  899
858,  900
859,  901
860,  902
861,  903
862,  904
863,  905
864,  906
865,  907
866,  908
867,  909
868,  910
869,  911
870,  912
871,  913
872,  914
873,  915
874,  916
875,  917
876,  918
877,  919
878,  920
879,  921
880,  922
881,  923
977,  979
978,  980
987,  999
988,  1000
989,  1001
990,  1002
991,  1003
992,  1004
993,  1005
994,  1006
995,  1007
996,  1008
997,  1009
1010, 1032
1011, 1033
1012, 1034
1013, 1035
1014, 1036
1015, 1037
1016, 1038
1017, 1039
1018, 1040
1019, 1041
1020, 1042
1021, 1043
1022, 1044
1023, 1045
1024, 1046
1025, 1047
1026, 1048
1027, 1049
1028, 1050
1029, 1051
1030, 1052
1031, 1053
1189, 1191
1190, 1192
